system   D            wsystem.c:583  maybe_parent_dir                 [   0.00071] Also searching D:\PROJETO\CPP\ALLEGRO\The3rdTrial\
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.20928] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.20930] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.20931] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   0.22099] Glyph 41: 11x15 (12x16)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.23487] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.23493] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.23855] Glyph 51: 12x15 (12x16)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.23887] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.23889] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.23997] Glyph 54: 12x15 (12x16)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.24017] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.24019] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.24108] Glyph 29: 4x12 (4x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.24132] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.24135] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:406  cache_glyph                      [   0.24206] Glyph 3 has zero size.
font     D                ttf.c:217  alloc_glyph_region               [   0.24215] Glyph 55: 12x15 (12x16)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.24239] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.24241] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.24329] Glyph 36: 15x15 (16x16)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.24350] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.24352] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.24436] Glyph 40: 12x15 (12x16)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.24454] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.24457] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.24539] Glyph 21: 11x15 (12x16)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.24557] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.24559] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.24666] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.24667] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.24668] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.24669] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.24670] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.24671] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.24672] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.24674] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.24675] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.24675] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.24677] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.24678] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.24679] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   0.24759] Glyph 70: 7x8 (8x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.24809] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.24811] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.24933] Glyph 68: 7x8 (8x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.24958] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.24960] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.25344] Glyph 80: 9x8 (12x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.25374] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.25376] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:406  cache_glyph                      [   0.25461] Glyph 3 has zero size.
font     D                ttf.c:217  alloc_glyph_region               [   0.25467] Glyph 41: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.25493] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.25496] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.25586] Glyph 82: 7x8 (8x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.25614] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.25617] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.25708] Glyph 88: 7x8 (8x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.25729] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.25731] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.25807] Glyph 86: 7x8 (8x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.25830] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.25832] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.25921] Glyph 91: 7x8 (8x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.25945] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.25948] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.26020] Glyph 29: 3x8 (4x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.26054] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.26057] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.26137] Glyph 22: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.26159] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.26162] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.26239] Glyph 21: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.26261] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.26264] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.26341] Glyph 19: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.26363] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.26366] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.26444] Glyph 17: 3x3 (4x4)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.26468] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.26471] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.26687] Glyph 59: 8x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.26725] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.26728] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.27082] Glyph 51: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.27105] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.27108] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.27195] Glyph 79: 3x10 (4x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.27217] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.27220] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.27304] Glyph 92: 8x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.27335] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.27337] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.27431] Glyph 72: 7x8 (8x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.27450] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.27452] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.27524] Glyph 85: 5x8 (8x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.27543] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.27545] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.27625] Glyph 83: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.27642] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.27644] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.27722] Glyph 20: 5x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.27742] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.27744] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.27825] Glyph 27: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.27841] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.27843] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.27925] Glyph 60: 10x10 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.27945] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.27947] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.28031] Glyph 69: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.28050] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.28052] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.28135] Glyph 38: 8x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.28159] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.28161] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.28241] Glyph 36: 11x10 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.28262] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.28264] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.28337] Glyph 48: 9x10 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.28355] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.28356] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.28669] Glyph 50: 9x10 (12x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.28692] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.28694] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.28785] Glyph 54: 8x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.28805] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.28807] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.28904] Glyph 89: 8x8 (8x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.28927] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.28929] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.29015] Glyph 23: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.29031] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.29033] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.29119] Glyph 71: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.29144] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.29146] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.29238] Glyph 58: 13x10 (16x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.29270] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.29273] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.29348] Glyph 24: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.29366] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.29368] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.29540] Glyph 74: 8x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.29573] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.29575] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.29655] Glyph 90: 12x8 (12x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.29673] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.29675] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.29755] Glyph 76: 3x10 (4x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.29778] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.29780] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.29853] Glyph 87: 5x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.29869] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.29871] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.29946] Glyph 75: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.29967] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.29969] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.30041] Glyph 28: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.30062] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.30064] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.30436] Glyph 25: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.30463] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.30465] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.30561] Glyph 78: 6x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.30581] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.30583] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.30675] Glyph 81: 7x8 (8x8)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.30694] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.30696] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.30790] Glyph 49: 8x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.30812] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.30814] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.30900] Glyph 53: 8x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.30920] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.30924] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.30999] Glyph 47: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.31015] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.31017] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.31098] Glyph 73: 6x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.31118] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.31124] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.31281] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.31285] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.31562] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.31566] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.31687] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.31690] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.31778] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.31780] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   0.87589] Glyph 26: 7x10 (8x12)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.87622] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.87627] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.87981] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.87985] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   2.19230] Glyph 16: 5x3 (8x4)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   2.19256] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   2.19260] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   2.19564] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   2.19569] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.25569] removed dtor for object 005A5DE0
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [  10.25610] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.25663] removed dtor for object 005C8070
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [  10.25717] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.25824] removed dtor for object 005C9A68
d3d      I         d3d_disp.cpp:921  d3d_destroy_display              [  10.25863] destroying display 0056A428 (current 00000000)
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [  10.25900] converting display bitmap 005C96D8 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [  10.25953] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [  10.25958] _al_d3d_sync_bitmap (video) ref count == 1
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [  10.26122] converting display bitmap 005CB098 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [  10.26272] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [  10.26276] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:905  d3d_destroy_display_internals    [  10.26602] waiting for display 0056A428's thread to end
d3d      W         d3d_disp.cpp:617  d3d_destroy_device               [  10.27375] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1527 d3d_display_thread_proc          [  10.30452] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.30781] removed dtor for object 005C9B90
dtor     D               dtor.c:114  _al_run_destructors              [  10.30791] calling dtor for object 005C96D8, func 59892595
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.30793] removed dtor for object 005C96D8
dtor     D               dtor.c:114  _al_run_destructors              [  10.30807] calling dtor for object 005CB098, func 59892595
dtor     D               dtor.c:214  _al_unregister_destructor        [  10.30809] removed dtor for object 005CB098
